0	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00
0	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00
0	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00
393	0.20	-0.10	0.78	-30	5	-979	0.21	0.15	0.11
393	0.20	-0.10	0.78	-30	5	-979	0.21	0.15	0.11
593	0.20	0.62	0.61	-30	4	-979	0.33	-1.27	0.04
593	0.20	0.62	0.61	-30	4	-979	0.33	-1.27	0.04
793	0.26	0.50	0.43	-30	3	-982	0.45	-1.38	0.01
793	0.26	0.50	0.43	-30	3	-982	0.45	-1.38	0.01
993	0.61	0.33	0.43	-28	6	-984	0.58	-1.45	-0.03
993	0.61	0.33	0.43	-28	6	-984	0.58	-1.45	-0.03
1193	0.13	0.75	0.43	-29	2	-983	0.71	-1.44	-0.06
1193	0.13	0.75	0.43	-29	2	-983	0.71	-1.44	-0.06
1393	0.32	0.75	0.49	-33	4	-982	0.85	-1.41	-0.06
1393	0.32	0.75	0.49	-33	4	-982	0.85	-1.41	-0.06
1593	0.26	0.33	0.79	-29	2	-982	0.96	-1.38	-0.04
1593	0.26	0.33	0.79	-29	2	-982	0.96	-1.38	-0.04
1793	0.02	0.71	0.90	-29	6	-981	1.13	-1.35	-0.07
1793	0.02	0.71	0.90	-29	6	-981	1.13	-1.35	-0.07
1993	-0.03	0.71	0.72	-29	6	-982	1.27	-1.32	-0.06
1993	-0.03	0.71	0.72	-29	6	-982	1.27	-1.32	-0.06
2193	0.31	0.35	0.67	-31	6	-983	1.41	-1.31	-0.06
2193	0.31	0.35	0.67	-31	6	-983	1.41	-1.31	-0.06
2394	-0.27	0.47	0.59	-31	6	-983	1.52	-1.23	-0.05
2394	-0.27	0.47	0.59	-31	6	-983	1.52	-1.23	-0.05
2594	0.19	0.17	0.50	-30	6	-984	1.67	-1.18	-0.04
2594	0.19	0.17	0.50	-30	6	-984	1.67	-1.18	-0.04
2794	-0.03	0.36	0.72	-29	3	-980	1.76	-1.10	-0.03
2794	-0.03	0.36	0.72	-29	3	-980	1.76	-1.10	-0.03
2994	0.32	0.89	0.73	-31	6	-981	1.89	-1.09	-0.02
2994	0.32	0.89	0.73	-31	6	-981	1.89	-1.09	-0.02
3194	0.55	0.84	0.85	-28	4	-984	2.01	-1.06	-0.01
3194	0.55	0.84	0.85	-28	4	-984	2.01	-1.06	-0.01
3394	0.50	0.20	0.20	-31	6	-982	2.14	-1.07	0.00
3394	0.50	0.20	0.20	-31	6	-982	2.14	-1.07	0.00
3594	0.43	0.78	1.32	-28	5	-981	2.28	-1.02	0.05
3594	0.43	0.78	1.32	-28	5	-981	2.28	-1.02	0.05
3794	0.24	0.44	0.73	-31	5	-982	2.43	-0.99	0.06
3794	0.24	0.44	0.73	-31	5	-982	2.43	-0.99	0.06
3994	-0.05	0.19	0.55	-30	6	-981	2.56	-0.96	0.09
3994	-0.05	0.19	0.55	-30	6	-981	2.56	-0.96	0.09
